Accession,Release_Date,Species,Nuc_Completeness,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
BCN28102,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28103,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28104,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28105,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28106,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28107,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28108,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28109,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28110,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28111,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28112,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28113,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28114,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28115,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28116,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28117,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28118,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28119,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28120,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,,Japan,,Homo sapiens,,2020-07
BCN28121,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28122,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28123,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28124,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28125,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28126,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28127,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28128,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28129,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28130,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28131,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28132,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,,Japan,,Homo sapiens,,2020-07
BCN28133,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28134,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28135,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28136,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28137,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28138,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28139,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28140,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28141,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28142,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28143,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28144,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,,Japan,,Homo sapiens,,2020-07
BCN28145,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28146,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28147,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28148,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28149,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28150,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28151,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28152,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28153,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28154,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28155,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28156,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28157,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28158,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28159,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28160,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28161,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28162,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28163,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28164,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28165,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28166,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28167,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28168,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28169,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28170,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28171,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28172,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28173,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28174,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28175,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28176,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28177,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28178,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28179,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28180,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28181,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28182,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,,Japan,,Homo sapiens,,2020-07
BCN28183,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28184,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28185,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28186,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28187,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28188,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28189,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28190,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28191,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28192,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28193,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28194,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28195,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28196,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28197,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28198,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28199,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28200,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28201,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-07
BCN28202,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28203,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-07
BCN28204,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-07
BCN28205,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28206,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-07
BCN28207,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-07
BCN28208,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-07
BCN28209,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-07
BCN28210,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-07
BCN28211,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-07
BCN28212,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-07
BCN28213,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,,Japan,,Homo sapiens,,2020-07
BCN28214,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-07
BCN28215,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-08
BCN28216,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-08
BCN28217,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-08
BCN28218,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-08
BCN28219,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-08
BCN28220,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-08
BCN28221,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-08
BCN28222,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7a protein,Japan,,Homo sapiens,,2020-08
BCN28223,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF7b protein,Japan,,Homo sapiens,,2020-08
BCN28224,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF8 protein,Japan,,Homo sapiens,,2020-08
BCN28225,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,nucleocapsid phosphoprotein,Japan,,Homo sapiens,,2020-08
BCN28226,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF10 protein,Japan,,Homo sapiens,,2020-08
BCN28227,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1ab polyprotein,Japan,,Homo sapiens,,2020-08
BCN28228,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF1a polyprotein,Japan,,Homo sapiens,,2020-08
BCN28229,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,surface glycoprotein,Japan,,Homo sapiens,,2020-08
BCN28230,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF3a protein,Japan,,Homo sapiens,,2020-08
BCN28231,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,envelope protein,Japan,,Homo sapiens,,2020-08
BCN28232,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,membrane glycoprotein,Japan,,Homo sapiens,,2020-08
BCN28233,2020-11-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,complete,ORF6 protein,Japan,,Homo sapiens,,2020-08
